Time,Quadrant Number,Ball Colour,Type
28.125969682689288,"(772, 9, 1)",Red,Exit
28.125969682689288,2,Red,Entry
28.125969682689288,"(1509, 277, 2)",Blue,Exit
28.125969682689288,2,Blue,Entry
28.125969682689288,"(1106, 242, 2)",Yellow,Exit
28.125969682689288,2,Yellow,Entry
28.125969682689288,"(1847, 246, 2)",White,Exit
28.125969682689288,2,White,Entry
28.125969682689288,"(991, 817, 4)",Peach,Exit
28.125969682689288,4,Peach,Entry
28.159254853911406,"(1338, 3, 2)",Red,Exit
28.159254853911406,1,Red,Entry
28.159254853911406,"(1509, 277, 2)",Blue,Exit
28.159254853911406,2,Blue,Entry
28.159254853911406,"(1106, 242, 2)",Yellow,Exit
28.159254853911406,2,Yellow,Entry
28.159254853911406,"(1847, 246, 2)",White,Exit
28.159254853911406,2,White,Entry
28.159254853911406,"(995, 819, 4)",Peach,Exit
28.159254853911406,4,Peach,Entry
28.192540025133525,"(765, 9, 1)",Red,Exit
28.192540025133525,2,Red,Entry
28.192540025133525,"(1509, 276, 2)",Blue,Exit
28.192540025133525,2,Blue,Entry
28.192540025133525,"(1107, 242, 2)",Yellow,Exit
28.192540025133525,2,Yellow,Entry
28.192540025133525,"(1847, 246, 2)",White,Exit
28.192540025133525,2,White,Entry
28.192540025133525,"(999, 821, 4)",Peach,Exit
28.192540025133525,4,Peach,Entry
28.22582519635564,"(1240, 3, 2)",Red,Exit
28.22582519635564,2,Red,Entry
28.22582519635564,"(1509, 276, 2)",Blue,Exit
28.22582519635564,2,Blue,Entry
28.22582519635564,"(1107, 242, 2)",Yellow,Exit
28.22582519635564,2,Yellow,Entry
28.22582519635564,"(1847, 205, 2)",White,Exit
28.22582519635564,2,White,Entry
28.22582519635564,"(1004, 829, 4)",Peach,Exit
28.22582519635564,4,Peach,Entry
28.259110367577758,"(1228, 4, 2)",Red,Exit
28.259110367577758,2,Red,Entry
28.259110367577758,"(1509, 276, 2)",Blue,Exit
28.259110367577758,2,Blue,Entry
28.259110367577758,"(1107, 242, 2)",Yellow,Exit
28.259110367577758,2,Yellow,Entry
28.259110367577758,"(1829, 206, 2)",White,Exit
28.259110367577758,2,White,Entry
28.259110367577758,"(1008, 831, 4)",Peach,Exit
28.259110367577758,4,Peach,Entry
28.292395538799877,"(1229, 4, 2)",Red,Exit
